id,name,created_at,advertisers_entities.id,entities.short_name,entities.is_active,entities.is_political,countries.name,countries.alpha2,advertisers_platforms.advertiser_platform_ref,advertisers_platforms.advertiser_platform_name,platforms.name
04016a22-98c3-4fd8-bfd3-67e8b3178458,Orly Levy Abkasis,2022-08-16T15:24:01.957Z,b9cc446e-5dc6-4998-bcc1-26cf36d83e5a,GSR,true,true,Israel,il,612784452070209,Orly Levy Abkasis,Facebook
33c30453-630d-4daf-b030-aa00ab155834,Gesher,2022-08-16T15:24:01.952Z,1d4c7acc-3e06-4f43-b356-e47f38d99167,GSR,true,true,Israel,il,338838956712485,Gesher,Facebook
111e1515-a580-43e1-b0f4-95bae381becb,Binyamin Lachkar - בנימין לאשקר,2022-08-16T15:24:30.834Z,e2b8a3a7-e64c-4e29-be9e-3f7154c4994b,LIK,true,true,Israel,il,300013370196836,Binyamin Lachkar - בנימין לאשקר,Facebook
16612660-6708-4d37-9c79-52be0d9fe7ca,Benjamin Netanyahu,2022-08-16T15:24:01.754Z,cfcfcd86-c877-4fd4-a63f-5d3146e9468a,LIK,true,true,Israel,il,268108602075,Benjamin Netanyahu,Facebook
760972db-b2f6-418e-a410-abf78ad53c86,Likud,2022-08-16T15:24:01.752Z,4cb37569-daea-456b-982d-1f14a1504666,LIK,true,true,Israel,il,109970322392972,Likud,Facebook
1a323d08-f21c-44df-91aa-9cfd1428ac1e,בני גנץ - Benny Gantz,2022-08-16T15:24:02.153Z,27b42863-c61b-4a1f-a823-c7873e6050f7,KAL,true,true,Israel,il,266097474067652,בני גנץ - Benny Gantz,Facebook
1e111da0-68a5-4227-bec7-0adf734497c7,Yair Lapid,2022-08-16T15:24:01.901Z,37695310-008e-49b8-a0bb-003d6c686f60,KAL,true,true,Israel,il,107836625941364,Yair Lapid,Facebook
37ad33d6-374f-4915-b397-45dd4a5fdc25,Benny Gantz,2022-08-16T15:24:01.946Z,59a8e7b2-1328-46d0-af20-43065f8a843f,KAL,true,true,Israel,il,266098094067590,Benny Gantz,Facebook
8aec2741-b06b-4c36-b9cc-424ce8854da0,Hosen Le`israel,2022-08-16T15:24:01.910Z,d963ee58-d3cb-415b-9b7d-8b81ac65cdce,KAL,true,true,Israel,il,224673221745617,Hosen Le`israel,Facebook
a4000469-fbef-4454-9d16-db4b76d5dc22,Yesh Atid,2022-08-16T15:24:01.898Z,ad124a0d-f6a7-4573-a035-3d99cc65957a,KAL,true,true,Israel,il,426502237384307,Yesh Atid,Facebook
c171a5af-2341-4862-bfcf-d1e50f84eb18,"משה (בוגי) יעלון - Moshe (Bogie) Ya""alon",2022-08-16T15:24:18.457Z,b1dad184-c438-4fe5-b65d-4ff553f31480,KAL,true,true,Israel,il,173196886046831,"משה (בוגי) יעלון - Moshe (Bogie) Ya""alon",Facebook
efcb5a2c-07a5-4c32-abee-af4805df0283,גבי אשכנזי - Gabi Ashkenazi,2022-08-16T15:24:28.054Z,486b0501-c080-4ec6-8e02-f801c8f79f48,KAL,true,true,Israel,il,256477885275117,גבי אשכנזי - Gabi Ashkenazi,Facebook
275592e6-0d55-450a-a507-e1ccde4d048d,Meretz,2022-08-16T15:24:02.005Z,b077da07-c2af-4b94-be1b-03955a75cd19,MRZ,true,true,Israel,il,7661338127,Meretz,Facebook
7be4d677-2a2d-4c32-bae5-f8dbe41e8a6e,Tamar Zandberg,2022-08-16T15:24:02.022Z,5cb1bb2b-9ecc-4fdf-9b08-aeee5c5bc26d,MRZ,true,true,Israel,il,284775634985944,Tamar Zandberg,Facebook
